hh,mm,ss,sss,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temperature_c,ppg_red,ppg_ir,ppg_green
0,0,0,940,0.13787841796875,0.0147705078125,-0.1202392578125,-85.86883544921875,-8.60595703125,-86.0443115234375,40.09375,1114,708,199
0,0,0,950,0.114013671875,-0.018310546875,-0.07928466796875,-89.7979736328125,-6.805419921875,-83.221435546875,40.09375,1123,711,169
0,0,0,960,0.114013671875,-0.018310546875,-0.07928466796875,-89.7979736328125,-6.805419921875,-83.221435546875,40.09375,1116,699,167
0,0,0,970,0.07427978515625,-0.0445556640625,-0.05072021484375,-87.33367919921875,-7.54547119140625,-83.465576171875,40.09375,1110,710,149
0,0,0,980,0.04705810546875,-0.05975341796875,-0.02471923828125,-87.33367919921875,-7.54547119140625,-90.14129638671875,40.09375,1127,715,131
0,0,0,990,0.04705810546875,-0.05975341796875,-0.02471923828125,-95.49713134765625,-3.12042236328125,-90.14129638671875,40.09375,1092,697,139
0,0,1,0,0.05780029296875,-0.0579833984375,-0.04156494140625,-99.18212890625,-3.08990478515625,-88.03558349609375,40.09375,1117,705,125
0,0,1,10,0.05780029296875,-0.0579833984375,-0.04156494140625,-99.18212890625,-3.08990478515625,-88.03558349609375,40.09375,1116,703,111
0,0,1,20,0.04339599609375,-0.07196044921875,-0.05120849609375,-97.2442626953125,-7.75146484375,-101.4251708984375,40.09375,1104,709,112
0,0,1,30,0.04339599609375,-0.07196044921875,-0.05120849609375,-97.2442626953125,-7.75146484375,-101.4251708984375,39.09375,1115,714,114
0,0,1,40,0.0989990234375,-0.082275390625,-0.04327392578125,-92.926025390625,-10.6048583984375,-89.25628662109375,39.09375,1107,705,136
0,0,1,50,0.0989990234375,-0.082275390625,-0.04327392578125,-92.926025390625,-10.6048583984375,-89.25628662109375,39.09375,1119,703,156
0,0,1,60,0.07281494140625,-0.1060791015625,-0.005859375,-85.418701171875,-13.9617919921875,-82.28302001953125,39.09375,1117,705,163
0,0,1,70,0.07281494140625,-0.1060791015625,-0.005859375,-85.418701171875,-13.9617919921875,-82.28302001953125,39.09375,1114,710,166
0,0,1,80,0.0074462890625,-0.11444091796875,0.059814453125,-101.715087890625,-10.2081298828125,-105.01861572265625,42.09375,1117,713,167
0,0,1,90,0.0074462890625,-0.11444091796875,0.059814453125,-101.715087890625,-10.2081298828125,-105.01861572265625,42.09375,1123,727,187
0,0,1,100,0.03265380859375,-0.14495849609375,0.08673095703125,-94.635009765625,-13.3056640625,-101.99737548828125,42.09375,1116,715,179
0,0,1,110,0.03265380859375,-0.12933349609375,0.1578369140625,-94.635009765625,-13.3056640625,-101.99737548828125,42.09375,1116,729,197
0,0,1,120,0.0469970703125,-0.13714599609375,0.1578369140625,-121.4752197265625,3.63922119140625,-101.2725830078125,40.09375,1101,717,187
0,0,1,130,0.1455078125,-0.1041259765625,0.06182861328125,-100.70037841796875,-7.97271728515625,-92.00286865234375,40.09375,1125,717,174
0,0,1,140,0.1455078125,-0.1041259765625,0.06182861328125,-100.70037841796875,-7.97271728515625,-92.00286865234375,40.09375,1095,718,179
0,0,1,150,0.15155029296875,-0.0877685546875,0.04595947265625,-90.88134765625,-12.237548828125,-80.87921142578125,40.09375,1104,725,180
0,0,1,160,0.15155029296875,-0.0877685546875,0.04595947265625,-90.88134765625,-12.237548828125,-80.87921142578125,40.09375,1098,708,195
0,0,1,170,0.11517333984375,-0.08648681640625,0.0701904296875,-84.5184326171875,-14.12200927734375,-81.268310546875,39.09375,1100,716,185
0,0,1,180,0.11517333984375,-0.08648681640625,0.0701904296875,-84.5184326171875,-14.12200927734375,-81.268310546875,39.09375,1105,721,201
0,0,1,190,0.07647705078125,-0.1180419921875,0.08929443359375,-79.85687255859375,-14.22119140625,-79.81109619140625,39.09375,1114,705,186
0,0,1,200,0.07647705078125,-0.1180419921875,0.08929443359375,-79.85687255859375,-14.22119140625,-79.81109619140625,39.09375,1103,721,185
0,0,1,210,-0.0010986328125,-0.16339111328125,0.1343994140625,-93.4295654296875,-4.32586669921875,-87.554931640625,45.09375,1109,701,188
0,0,1,220,-0.0010986328125,-0.16339111328125,0.1343994140625,-93.4295654296875,-4.32586669921875,-87.554931640625,45.09375,1097,702,181
0,0,1,230,0.0091552734375,-0.19134521484375,0.10638427734375,-98.77777099609375,-0.3509521484375,-87.27264404296875,45.09375,1102,717,185
0,0,1,240,0.0091552734375,-0.19134521484375,0.10638427734375,-98.77777099609375,-0.3509521484375,-87.27264404296875,45.09375,1100,715,182
0,0,1,250,0.07928466796875,-0.1756591796875,0.03204345703125,-89.75982666015625,-8.06427001953125,-75.3326416015625,45.09375,1115,707,182
0,0,1,260,0.09405517578125,-0.141357421875,0.029052734375,-89.75982666015625,-8.06427001953125,-75.3326416015625,42.09375,1093,703,189
0,0,1,270,0.09405517578125,-0.141357421875,0.029052734375,-71.20513916015625,-16.68548583984375,-57.4188232421875,42.09375,1106,694,197
0,0,1,280,0.0213623046875,-0.091064453125,0.11639404296875,-81.65740966796875,-8.61358642578125,-60.8978271484375,42.09375,1102,698,202
